,ID,Name,Reviews,Rating,Price
193,s-pRcEOGIWtQWzHE_li34w,Silence! The Musical,31,4.5,
194,3yqWI5fX1xA2Mf03pay4wQ,The Toxic Avenger Musical,6,4.0,
195,jTEZY47Te-FtODMlnp7csg,The Peoples Improv Theater,152,4.0,
196,FeBktm4xEr1cB94fY4jCYg,Drunk Shakespeare,606,4.5,$$
197,FW9kiL96LdN8wkIjd0-zPQ,The Palace Theatre,142,3.5,
198,leB8wn5E7Tq9B36XNHwF8A,Stage 42,34,4.5,
199,Na79g1I-XrvJemh6DNje9g,Gershwin Theatre,284,4.5,
200,u5ZBzYT6CvgdMlf4wNn6yg,American Airlines Theatre,51,4.0,
201,0HnwpxpFWmqcMSIkK5ORpw,Pretty Woman: The Musical,35,4.5,
202,xcYxEMLPF5AXqExdWvEpcQ,YESTERcades,135,4.5,
203,mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,1093,4.0,$$$
204,Si1go2APtOnAnN0CL38k3Q,Roulette Intermedium,11,4.5,
205,XShGy9EoNW0jpRDileuSBg,The Space At Westbury,55,4.0,$$
206,1oSScsLRONvHppf8i67yoQ,Cafe at Apollo,180,4.5,$$
207,GIxZtySRPryx_iYt59135w,Accomplice The Show,278,4.5,
208,zxQGrv0uJ5b_k0l_ma6E3A,Jalopy Tavern,36,4.0,$$
209,FrMDrCYZRKeH9RgkIPVL8Q,Brooklyn Center for the Performing Arts,10,3.0,
210,9z1GDpTfD3ubVZSioPu_-A,Wicked,786,4.5,
211,BBym_fvX0Q5A6DB23aPQUg,Gore Vidal's The Best Man,18,4.0,
212,aNAroN3ohGjhlkFHNs1tuQ,The Book of Mormon,736,4.0,
213,hCpJoPkT3FICPhdYcQSTMA,Irondale Center,18,4.0,
214,i0ophC3VikcsMtc92UVtwg,Stomp,209,4.5,
215,CVBLrSjwJzV_t3hijQJvpg,Majestic Theatre,195,4.0,
216,jc_YqCxwEUBhCZy2LK9KkA,Atlantic Theater Company,29,4.0,
217,HbmMjukJRYHnLW3MbYpHBg,Big Apple Circus,130,4.0,
218,rGgj3meuqkwXztcak70KeQ,Trainspotting Live,6,4.5,
219,0bgj31YiTPwfU7ktu-mQgw,Lincoln Center,272,4.5,$$$
